"age","num_0.y","den_0.y","rate_i_0.y","num_1.y","den_1.y","rate_i_1.y","irr_age.y","num_0.x","den_0.x","rate_i_0.x","num_1.x","den_1.x","rate_i_1.x","irr_age.x","num_0","den_0","rate_i_0","num_1","den_1","rate_i_1","irr_age"
"0-4",769,1068730,4.97457870556642,316,177968,12.2756113458599,2.46766853484977,769,1068733,4.9745647416146,316,178007,12.2729218513879,2.4671348125634,1,1.00000280707007,0.999997192937806,1,1.00021914051964,0.999780907492402,0.999783713947468
"5-9",90,1147677,0.568798538264686,14,172883,0.587369492662668,1.0326494411442,90,1147679,0.568797547049306,14,172885,0.587362697747057,1.03263929458568,1,1.00000174265059,0.999998257352448,1,1.00001156851744,0.999988431616392,0.999990174246822
"10-14",114,1301178,0.639854654782051,29,176597,1.19930010136073,1.87433207275679,114,1301178,0.639854654782051,29,176601,1.19927293729934,1.87428961926961,1,1,1,1,1.0000226504414,0.99997735007163,0.99997735007163
"15-19",371,1533896,1.74553548610858,100,198678,3.63246056433022,2.0810006976302,371,1533896,1.74553548610858,100,198690,3.63224117972721,2.08087501436295,1,1,1,1,1.00006039923897,0.999939604408878,0.999939604408878
"20-24",1103,1611714,4.54951895931908,163,224987,4.81624004942508,1.05862621795644,1103,1611715,4.54951613653779,163,224995,4.81606880152892,1.05858923388587,1,1.00000062045748,0.999999379542909,1,1.00003555761,0.999964443654303,0.999965064089718
"25-29",1788,1615532,7.14178685411369,244,212885,7.39604763135026,1.03560184340843,1788,1615533,7.14178243341362,244,212911,7.39514445002842,1.035476020024,1,1.00000061899114,0.99999938100924,1,1.00012213166733,0.999877883246991,0.999878502162545
"30-34",2079,1518953,9.72383450969187,213,183138,8.26282475510271,0.849749627769482,2079,1518954,9.72382810802697,213,183157,8.26196760156587,0.84966203739715,1,1.00000065834822,0.999999341652216,1,1.00010374690124,0.999896263861059,0.999896922140982
"35-44",4846,2873290,27.4257940548987,517,334861,25.1062145188601,0.915423431992688,4846,2873290,27.4257940548987,517,334882,25.1046401419007,0.915366027019976,1,1,1,1,1.00006271258821,0.999937291344414,0.999937291344414
"45-54",12386,3756899,44.4529896598232,1165,325584,48.2461085311318,1.08532876866855,12386,3756899,44.4529896598232,1165,325636,48.2384042304905,1.08515545522664,1,1,1,1,1.00015971300801,0.999840312496161,0.999840312496161
"55-64",25334,3735786,59.1660094555737,1997,262045,66.4894422713656,1.12377770417812,25334,3735794,59.1658827547772,1997,262143,66.4645857413702,1.12335999475988,1,1.00000214145029,0.999997858554299,1,1.00037398156805,0.999626158241876,0.999628298891599
"65-74",38765,2527556,101.280616730154,2282,139490,108.033861925586,1.06667855522074,38765,2527569,101.280095815386,2282,139691,107.878413068845,1.06514920034718,1,1.0000051433084,0.999994856718056,1,1.00144096350993,0.998561109878231,0.998566245785973
"75-84",58096,1335819,195.017643557997,2374,67943,156.679178134613,0.803410272404494,58096,1335858,195.011950072538,2374,68343,155.762161450331,0.798731366936197,1,1.00002919557215,0.999970805280202,1,1.00588728787366,0.994147169424813,0.994176194120231
"85+",101687,711624,221.600451361955,2571,23810,167.45513649727,0.755662434205759,101687,711726,221.568693008264,2571,24594,162.117052939741,0.731678518019215,1,1.00014333412027,0.99985668642146,1,1.03292734145317,0.968122306253558,0.968261071212634
